date,startup,industry,subvertical,city,investors,investment_type,amount
30-09-2016,zeta,technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,19000000
01-08-2016,healthkart,ecommerce,Online Pharmacy & Health Marketplace,Gurugram,Sequoia Capital India,Private Equity,12000000
01-08-2016,medinfi,consumer internet,Doctor & Clinic Discovery Platform,Bengaluru,Mudit Saxena,Seed Funding,200000
01-08-2016,repaireasy,consumer internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,275000
01-08-2016,voonik,ecommerce,Online Women's Fashion Marketplace,Bengaluru,InnoVen Capital,Private Equity,3000000
01-08-2016,tokri,consumer internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500000
02-08-2016,sheroes,consumer internet,Online Job and Career Platform for Women,Noida,Lumis Partners,Private Equity,1800000
02-08-2016,yumlane,food & beverage,Retail Food & Snack Offline centres,Mumbai,Binny Bansal,Seed Funding,1000000
03-08-2016,extracarbon,consumer internet,Waste Recycle Management platform,Gurugram,Brand Capital,Seed Funding,225000
03-08-2016,flickbay,consumer internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,890000
04-08-2016,petoo,consumer internet,Food Delivery Platform,Bengaluru,Existing Investors,Seed Funding,500000
06-08-2016,vst travels,technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,27000
08-08-2016,wefly indoor skydiving,others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,40000
08-08-2016,mojarto,ecommerce,"Original Art, Digital Prints etailer",Gurugram,Undisclosed Investors,Seed Funding,445000
08-08-2016,zipgrid,consumer internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,200000
10-08-2016,vebbler,consumer internet,Photo Sharing Mobile App,Bengaluru,Anupam Mittal,Seed Funding,500000
10-08-2016,bombay shaving company,ecommerce,Men's Grooming Product etailer,New Delhi,Noshir Kaka,Seed Funding,600000
11-08-2016,travelyaari,consumer internet,Online ticket booking platform,Bengaluru,Gujarat Venture Finance Limited (GVFL),Private Equity,7000000
11-08-2016,genextstudents,consumer internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,209000
11-08-2016,zenoti,technology,Cloud Based Software Solutions Provider,Hyderabad,Norwest Venture Partners,Private Equity,15000000
12-08-2016,crofarm,technology,Agri-Tech supply chain Solution provider,Gurugram,Mukul Singhal,Private Equity,1500000
12-08-2016,faircent,consumer internet,peer-to-peer lending platform,Gurugram,Brand Capital,Private Equity,1500000
12-08-2016,innovaccer,technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000
12-08-2016,cuberoot,technology,Data Analytics & Audience Management Platform,Gurugram,Undisclosed Investors,Seed Funding,500000
16-08-2016,oyo rooms,consumer internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,62000000
16-08-2016,hike,consumer internet,Mobile Messaging App,New Delhi,Tencent Holdings,Private Equity,175000000
16-08-2016,joolz,ecommerce,Online Jewellery Store,Mumbai,Powerhouse Ventures,Private Equity,500000
16-08-2016,salebhai,ecommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,1500000
16-08-2016,makkajai,technology,Online & Mobile learning for kids,Pune,Anand Chandrasekaran,Seed Funding,250000
17-08-2016,maalgaadi,logistics,Online Logistics Marketplace,Indore,Swan Angel Network,Seed Funding,375000
17-08-2016,appknox,technology,Mobile security solutions,Bengaluru,SeedPlus,Private Equity,675000
19-08-2016,quikr,consumer internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,20000000
19-08-2016,digio,technology,Aadhar based Document Signing platform,Bengaluru,Rainmatter,Private Equity,375000
22-08-2016,puro wellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,37000000
23-08-2016,notesgen,consumer internet,Online Notes Sharing Portal,New Delhi,Riju Gupta,Seed Funding,100000
23-08-2016,octo.ai,technology,Artificial Intelligence based marketing platform,New Delhi,Outbox Ventures,Seed Funding,200000
24-08-2016,unaacademy,consumer internet,Free Interactive education platform,Bengaluru,Blume Ventures,Private Equity,1000000
24-08-2016,advenio,technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,100000
24-08-2016,guarented,ecommerce,Home Furnishing rental marketplace,Bengaluru,Kalaari Capital,Seed Funding,500000
24-08-2016,uber dreams,ecommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,500000
24-08-2016,convegenius,education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,900000
24-08-2016,urbanladder,ecommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000000
25-08-2016,cult,healthcare,Health and Fitness Centres,Bengaluru,CureFit,Private Equity,3000000
25-08-2016,zoomcar,consumer internet,Self-driven car booking platform,Bengaluru,Ford Smart Mobility Llc,Private Equity,24000000
26-08-2016,plix,consumer internet,Photo and Video Sharing App,Gurugram,Instalabs,Seed Funding,500000
26-08-2016,mobikwik,consumer internet,Digital Wallet platform,Gurugram,Net1 UEPS Technologies Inc,Private Equity,40000000
26-08-2016,mydidi,consumer internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000
29-08-2016,loan tap,consumer internet,Lending platform for Salaried professionals,Mumbai,Dr. Abhishek Pandey,Private Equity,3000000
29-08-2016,runnr,consumer internet,hyperlocal Logistics services provider,Bengaluru,Nexus Venture Partners,Private Equity,7000000
29-08-2016,notion press,consumer internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,1000000
29-08-2016,livspace,consumer internet,Online portal for Home Design,Bengaluru,Bessemer Venture Partners,Private Equity,15000000
30-08-2016,iaugmentor labs,technology,Assessment & Learning Platform,Gurugram,Rajasthan Angel Investor Network & Others,Seed Funding,149000
30-08-2016,daybox,consumer internet,Fruit & Vegetable Delivery platform,New Delhi,Ashutosh Lawania,Seed Funding,104000
30-08-2016,paytm,ecommerce,Mobile Wallet & ECommerce platform,Bengaluru,MediaTek Inc.,Private Equity,60000000
30-08-2016,cropin,technology,Agriculture Technology Solutions,Bengaluru,Sophia Investment ApS,Private Equity,2000000
30-08-2016,canvera,consumer internet,Photographer Discovery & Information platform,Bengaluru,Info Edge (India) Ltd,Private Equity,3000000
31-08-2016,flyrobe,ecommerce,Online fashion rental platform,Mumbai,IDG Ventures,Private Equity,5300000
01-07-2016,venture catalysts,consumer internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000
02-07-2016,playment,consumer internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,SAIF Partners,Private Equity,700000
04-07-2016,cure fit,consumer internet,Online Preventive Healthcare Platform,Bengaluru,Accel Partners,Private Equity,15000000
04-07-2016,stitchwood,ecommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000
04-07-2016,grab,logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000
04-07-2016,neogrowth,finance,SME Lending platform,Mumbai,IIFL Wealth Management Seed Venture Fund,Private Equity,16000000
05-07-2016,seedoc,consumer internet,Video Based Doctor Consulting platform App,Gurugram,YourNest Angel Fund & Others,Private Equity,1000000
05-07-2016,book my show,consumer internet,Event & Movie Ticketing platform,Mumbai,Stripes Group,Private Equity,82000000
05-07-2016,flyrobe,ecommerce,Online fashion rental platform,Mumbai,Sequoia Capital,Seed Funding,1700000
06-07-2016,happilyunmarried,ecommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000
06-07-2016,don't scratch your head,technology,Full Stack Offline & Online ERP Solution,Ahmedabad,Gaurav Singhvi,Seed Funding,250000
06-07-2016,wedding wishlist,consumer internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,Kirthiga Reddy,Seed Funding,297000
07-07-2016,appdaily,technology,Mobile Security App development & Distribution,Mumbai,Kalaari Capital,Private Equity,2000000
07-07-2016,adytude,consumer internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000
08-07-2016,holachef,consumer internet,Online Food Ordering & Delivery Platform,Mumbai,Kalaari Capital,Private Equity,1950000
11-07-2016,purplle,ecommerce,Beauty Products Marketplace,Mumbai,JSW Ventures,Private Equity,6000000
11-07-2016,trak n tell,technology,Car Tracking & Safety System,Gurugram,Brian Acton,Private Equity,3500000
11-07-2016,overcart,ecommerce,Unboxed & refurbished electronic products marketplace,Gurugram,JSW Ventures,Private Equity,3000000
12-07-2016,sirionlabs,technology,SAAS based Service Agreement Management,Gurugram,Sequoia Capital,Private Equity,12250000
13-07-2016,yaap,consumer internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,5000000
13-07-2016,twigly,consumer internet,Online Food Ordering & Delivery Startup,Gurugram,Tracxn Labs,Seed Funding,600000
13-07-2016,sharechat,consumer internet,Vernacular Language Content Creation & Sharing App,Bengaluru,SAIF Partners,Private Equity,1350000
13-07-2016,rentmojo,consumer internet,Online Furniture Renting Platform,Bengaluru,Accel Partners,Private Equity,5000000
14-07-2016,augrav,ecommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000
14-07-2016,shoppinpal,technology,M-Commerce Solutions for Retail Stores,Pune,Plug and Play Tech Center,Private Equity,1070000
15-07-2016,workapps,technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,1000000
15-07-2016,bankerbay,consumer internet,Online Investment Banking platform,Bengaluru,undisclosed investors,Private Equity,2000000
15-07-2016,tripshelf,ecommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,250000
15-07-2016,ridlr,consumer internet,Public Transport Mobile App,Mumbai,Times Internet,Private Equity,6000000
18-07-2016,yellowdig,consumer internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,650000
18-07-2016,zuppler,consumer internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,650000
18-07-2016,bluestone,ecommerce,Jewellery Etailer,Mumbai,IIFL and Accel Partners,Private Equity,30000000
19-07-2016,sagacito,technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000
19-07-2016,deal4loans,consumer internet,nLoans Comparison platformnnnn     (adsbygoogle = window.adsbygoogle || []).push({});nn,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000
19-07-2016,niyo solutions,technology,Payroll & Benefits Software solutions,Bengaluru,Prime Venture Partners,Private Equity,1000000
19-07-2016,applop,consumer internet,Mobile Apps SaaS Platform,Gurugram,Green House Ventures Accelerator,Seed Funding,250000
20-07-2016,tax2win,consumer internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000
20-07-2016,truckola,logistics,Tech-focused cargo transport startup,Mumbai,Abhishek Agarwal,Seed Funding,595000
21-07-2016,mytaxiindia,consumer internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,1000000
21-07-2016,wiwigo,consumer internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network,Seed Funding,595000
02-06-2016,atomberg,technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,1000000
02-06-2016,limo,consumer internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,1000000
03-06-2016,gogo truck,consumer internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,75000
03-06-2016,vyome biosciences,healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,2000000
06-06-2016,sillymonks,consumer internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000
07-06-2016,cuemath,education,K-12 Maths Learning Courses,Bengaluru,Sequoia Capital,Private Equity,4000000
07-06-2016,krazybee,consumer internet,Student Micro-Loan platform,Bengaluru,Yeahmobi,Private Equity,2000000
07-06-2016,intgrea,technology,Post merger Integration Partners,Bengaluru,Undisclosed Investor,Seed Funding,100000
07-06-2016,helpshift,technology,Mobile CRM Platform,Pune,Microsoft Ventures,Private Equity,23000000
07-06-2016,credit vidya,technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000
08-06-2016,grey campus,consumer internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000
08-06-2016,listup,ecommerce,Location based Classified Mobile app,Mumbai,Kae Capital,Seed Funding,500000
08-06-2016,6degree,technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,200000
08-06-2016,storeking,ecommerce,Connecting Small Town Consumers to E-Commerce,Bengaluru,Axiata Digital,Private Equity,16000000
08-06-2016,myseniordoctor,consumer internet,Online medical support platform,Gurugram,BlackJag Partners,Seed Funding,200000
09-06-2016,epaylater,technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,2000000
10-06-2016,paytunes,consumer internet,Mobile based rewards platform,New Delhi,CIO Angel Network,Private Equity,500000
13-06-2016,bombay shirt company,ecommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,1000000
13-06-2016,matrubharti,consumer internet,e-Book Publisher,Ahmedabad,Viridian Capital,Seed Funding,30000
